#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-45476.77257000905,302.1143332298216,1.059776292869524,0
10000,19.999999999999794,-45449.19115475676,295.7402778449652,1.0543676553134769,455
15000,29.99999999999425,-45358.98542117074,294.3248544895105,1.0593282920172136,442
20000,40.00000000000292,-45346.67469871306,308.2714267556283,1.034140188207716,445
25000,50.00000000001514,-45210.65402177285,295.3398130261536,1.0263196419609968,445
30000,60.00000000002736,-45036.70342058051,308.00215401078316,1.0418046314805212,445
35000,70.00000000001826,-45373.63918836805,299.55455377219675,1.0419646045456203,445
40000,79.99999999999496,-45854.59753994222,296.7222019896932,1.04173033591199,445
45000,89.99999999997165,-45217.26086660288,304.55633118730066,1.0347142350428635,447
50000,99.99999999994834,-45120.37723872127,304.36107709162974,1.044799918040985,448
55000,109.99999999992504,-45382.112810890074,292.7467676271376,1.0447022354873634,447
60000,119.99999999990173,-45480.48625616962,304.034997541996,1.0483974805131497,446
65000,129.99999999989262,-45287.763497529464,309.20709889251725,1.0469043802808007,445
70000,139.99999999994037,-45167.45969222832,302.73615934772766,1.0360635090467893,445
75000,149.99999999998812,-45046.37338541803,296.3646510071077,1.0370922562360452,445
80000,160.00000000003587,-45401.454263708,296.5036771716802,1.0449611225952762,444
85000,170.00000000008362,-45316.97086240788,300.1950389187137,1.039742421238883,445
90000,180.00000000013137,-45249.14718586666,300.6441098317041,1.0426774991699472,444
95000,190.0000000001791,-45030.65657366297,292.668619678974,1.0422843984647139,443
100000,200.00000000022686,-45135.03237884614,296.1474768943716,1.0148486685438682,443
105000,210.0000000002746,-45273.95448728281,297.17719671011224,1.0387448497800091,442
110000,220.00000000032236,-45290.86992749537,307.730778024864,1.0343122374344702,442
115000,230.0000000003701,-45083.59726891795,294.8096997965491,1.0448143480536702,442
120000,240.00000000041786,-45185.70016272337,301.0458481726339,1.0449197915858257,441
125000,250.0000000004656,-45482.78747475025,303.7127964460861,1.0434978447214132,442
130000,260.00000000051335,-45159.94576110752,302.0253796394428,1.0400469485392696,442
135000,270.0000000005611,-45266.37916398491,300.6196620661922,1.0369498976152913,441
140000,280.00000000060885,-45283.596651043976,305.2702561093017,1.041448188800477,441
145000,290.0000000006566,-45655.14503499013,300.2904951902113,1.0506661265675359,441
150000,300.00000000070435,-45045.17145396682,300.7389679337219,1.0228287416744166,441
155000,310.0000000007521,-45527.98347985407,304.7934571465555,1.028285840655503,440
160000,320.00000000079984,-45229.05956810506,308.5438447141897,1.0382888238667265,440
165000,330.0000000008476,-45344.6437602762,305.2205308593221,1.043879364033854,440
170000,340.00000000089534,-45263.52272625582,299.6247904465956,1.0343492814160462,440
175000,350.0000000009431,-45136.37507385257,299.21932801825943,1.0334832908483347,440
180000,360.00000000099084,-45138.20639153925,291.72659922728366,1.0186471196806122,440
185000,370.0000000010386,-45028.900619970256,299.34361219952405,1.0348717278611625,439
190000,380.00000000108633,-45655.88567860608,289.0935343604921,1.051278701240892,438
195000,390.0000000011341,-45308.15985347377,304.21898289649965,1.0535913209031378,438
200000,400.00000000118183,-45156.905692460365,303.4832344363818,1.0521621897482982,437
205000,410.0000000012296,-45681.87852861747,296.73335495612247,1.0506259956765707,438
210000,420.00000000127733,-45602.53595027243,296.06257541982353,1.0459359834305135,437
215000,430.0000000013251,-45112.048030509904,289.19941035841146,1.0516014431222118,437
220000,440.0000000013728,-45296.26979014004,309.61464526613776,1.0399268360016634,437
225000,450.0000000014206,-45323.41413096432,291.6341723947642,1.0420785133576262,437
230000,460.0000000014683,-45553.30984526756,297.26954635947294,1.0485029958098175,436
235000,470.00000000151607,-45638.854205009586,305.3658667471167,1.0579195850976033,436
240000,480.0000000015638,-45472.46779479587,306.2786926690363,1.046801524133515,436
